# evid,Ml,Mw,fc,n,stressdrop
2018156105500IMS000000,0.480,0.670,50.093,nan,1.787
2018157010141IMS000000,0.330,0.599,51.950,1.418,1.556
2018157013858IMS000000,0.640,0.896,35.445,1.435,1.380
2018157121700IMS000000,0.710,0.787,48.049,1.206,2.360
2018158072013IMS000000,0.620,0.727,45.088,1.798,1.582
2018158204112IMS000000,1.050,1.038,41.082,1.429,3.512
2018159000959IMS000000,0.440,0.706,36.672,1.820,0.791
2018159011231IMS000000,0.290,0.480,51.390,1.648,0.998
2018159035257IMS000000,0.780,0.894,51.893,1.384,4.301
2018159044000IMS000000,0.790,0.974,37.928,1.628,2.215
2018159120046IMS000000,0.510,0.681,49.135,1.833,1.749
2018159152310IMS000000,0.580,0.697,56.803,nan,2.858
2018160051518IMS000000,0.470,0.670,48.468,1.515,1.617
2018160054115IMS000000,1.040,1.371,33.244,1.508,5.863
2018160102510IMS000000,0.860,1.066,34.155,1.720,2.222
2018160135358IMS000000,0.700,0.885,45.867,1.531,2.874
2018160181943IMS000000,0.370,0.451,62.698,nan,1.642
2018160211026IMS000000,0.290,0.498,49.739,nan,0.963
2018161004449IMS000000,0.630,0.882,37.524,1.433,1.560
2018161102425IMS000000,0.610,0.715,56.764,1.335,3.036
2018161172544IMS000000,0.750,0.933,50.879,1.414,4.643
2018162012825IMS000000,0.250,0.345,73.358,nan,1.825
2018162052548IMS000000,1.450,1.573,31.517,1.863,10.055
2018162102701IMS000000,0.580,0.614,61.273,nan,2.688
2018162103517IMS000000,0.560,0.632,49.804,nan,1.539
2018162124708IMS000000,0.680,0.768,52.537,1.684,2.887
2018162195803IMS000000,0.860,1.097,37.013,1.447,3.141
2018162224749IMS000000,0.720,0.795,49.513,1.393,2.654
2018163001121IMS000000,0.880,1.105,37.426,1.412,3.342
2018163031320IMS000000,0.730,0.844,42.806,1.610,2.031
2018163132124IMS000000,0.500,0.717,38.740,1.603,0.972
2018164031000IMS000000,1.110,1.316,30.665,1.592,3.805
2018165002042IMS000000,0.990,1.259,29.335,1.344,2.742
2018165152357IMS000000,0.710,0.742,53.614,nan,2.805
2018165200500IMS000000,0.450,0.593,43.935,1.706,0.923
2018166021841IMS000000,0.190,0.410,54.552,1.459,0.940
2018166111647IMS000000,0.440,0.598,58.953,nan,2.271
2018168094946IMS000000,0.970,1.088,45.745,1.365,5.763
2018168112428IMS000000,0.360,0.609,37.939,nan,0.629
2018169024000IMS000000,0.560,0.720,34.948,1.652,0.720
2018169033430IMS000000,0.390,0.608,56.310,1.628,2.042
2018169042045IMS000000,0.620,0.686,50.123,nan,1.890
2018169213726IMS000000,0.400,0.345,59.175,nan,0.959
2018169230658IMS000000,0.420,0.538,49.618,1.417,1.098
2018170012100IMS000000,0.800,1.031,32.369,1.641,1.675
2018170013500IMS000000,0.550,0.710,51.717,1.317,2.254
2018170022530IMS000000,0.420,0.696,32.378,1.416,0.527
2018170145100IMS000000,0.770,0.892,45.186,1.741,2.821
2018170191546IMS000000,0.660,0.819,35.046,1.671,1.021
2018170200105IMS000000,0.700,0.727,36.901,1.823,0.868
2018170210141IMS000000,0.460,0.594,41.852,1.316,0.801
2018171001230IMS000000,1.320,1.558,31.590,1.732,9.611
2018171003700IMS000000,0.780,0.878,32.670,1.659,1.015
2018171005900IMS000000,0.800,0.951,31.630,1.594,1.184
2018171100309IMS000000,0.710,0.805,47.357,nan,2.406
2018171100500IMS000000,0.790,0.869,38.499,1.801,1.612
2018171101020IMS000000,0.570,0.612,53.333,nan,1.764
2018171113245IMS000000,0.580,0.602,54.534,nan,1.823
2018171170704IMS000000,0.840,0.954,43.903,1.472,3.207
2018171173814IMS000000,1.130,1.331,29.611,1.703,3.611
2018171232614IMS000000,1.650,1.857,22.373,1.889,9.589
2018171233929IMS000000,0.420,0.593,48.467,1.466,1.237
2018172001100IMS000000,0.800,0.972,28.692,1.913,0.950
2018172010600IMS000000,0.470,0.600,43.160,1.579,0.895
2018172070230IMS000000,0.560,0.646,48.922,1.791,1.527
2018172090030IMS000000,0.800,0.909,47.775,1.787,3.537
2018172175518IMS000000,1.210,1.480,31.606,1.861,7.359
2018172180735IMS000000,0.850,1.029,32.540,1.644,1.692
2018172183326IMS000000,0.770,0.942,40.304,1.522,2.378
2018172230708IMS000000,0.670,0.793,46.235,1.553,2.146
2018172234909IMS000000,0.410,0.480,55.516,1.733,1.260
2018173042858IMS000000,1.040,1.291,23.395,1.793,1.553
2018173043508IMS000000,0.870,0.980,36.154,1.864,1.954
2018173072237IMS000000,0.700,0.879,35.817,1.947,1.343
2018173130130IMS000000,0.950,1.000,44.867,1.530,4.007
2018173142304IMS000000,0.510,0.590,42.418,nan,0.823
2018173151655IMS000000,0.990,1.163,32.726,1.840,2.733
2018173181236IMS000000,1.120,1.351,27.494,2.031,3.101
2018173191258IMS000000,0.010,0.653,42.014,nan,0.994
2018173214953IMS000000,0.600,0.705,41.012,1.848,1.106
2018173220003IMS000000,0.840,1.031,32.099,1.838,1.633
2018174040400IMS000000,0.710,0.808,42.917,1.662,1.810
2018174043300IMS000000,0.930,1.004,28.021,1.931,0.990
2018174062000IMS000000,0.990,1.192,35.587,1.801,3.881
2018174064100IMS000000,0.740,0.831,52.867,1.576,3.663
2018174085934IMS000000,1.090,1.330,36.204,1.836,6.592
2018174131934IMS000000,0.560,0.610,52.063,nan,1.626
2018174154112IMS000000,0.530,0.616,50.244,1.696,1.493
2018175062422IMS000000,1.080,1.176,28.664,1.871,1.918
2018175132759IMS000000,0.440,0.584,46.605,nan,1.068
2018176001813IMS000000,0.820,1.024,28.145,1.733,1.075
2018176155852IMS000000,0.450,0.559,44.957,nan,0.880
2018176170554IMS000000,0.770,0.884,43.990,1.720,2.531
2018176210520IMS000000,0.510,0.741,52.550,1.447,2.628
2018177104730IMS000000,0.670,0.787,36.848,1.814,1.065
2018178152609IMS000000,0.490,0.607,52.651,nan,1.667
2018178222942IMS000000,0.930,1.211,35.835,1.892,4.235
2018179053245IMS000000,0.840,1.007,38.154,1.437,2.529
2018179233042IMS000000,1.180,1.418,32.677,1.899,6.553
2018180013150IMS000000,0.880,1.035,32.254,1.572,1.679
2018180040100IMS000000,1.680,1.889,21.408,1.771,9.386
2018180094138IMS000000,1.470,1.616,25.477,1.897,6.153
2018181040940IMS000000,0.640,0.817,28.572,1.954,0.549
2018181065239IMS000000,1.410,1.602,34.590,2.077,14.680
2018181192300IMS000000,0.770,1.068,31.927,1.745,1.827
2018182124340IMS000000,0.800,0.969,40.168,1.642,2.585
2018182203248IMS000000,0.970,1.217,33.429,1.834,3.502
2018182212250IMS000000,1.060,1.290,27.920,1.775,2.630
2018182233301IMS000000,0.790,1.037,32.049,1.713,1.658
2018183155952IMS000000,0.880,1.036,40.617,1.595,3.366
2018183202531IMS000000,0.680,0.917,33.569,1.549,1.261
2018183215029IMS000000,1.020,1.184,26.905,1.922,1.631
2018184003003IMS000000,0.560,0.690,40.747,1.148,1.027
2018184201046IMS000000,1.050,1.223,32.501,1.848,3.286
2018184202906IMS000000,1.190,1.406,25.895,1.890,3.128
2018185001326IMS000000,0.870,1.125,33.404,1.890,2.550
2018185014623IMS000000,1.070,1.186,31.514,1.971,2.636
2018185034551IMS000000,1.080,1.017,36.947,1.848,2.371
2018185120950IMS000000,0.740,0.912,38.224,1.860,1.832
2018185145450IMS000000,0.690,0.888,38.436,1.862,1.714
2018185155423IMS000000,0.680,0.755,40.077,1.827,1.225
2018186070100IMS000000,1.390,1.616,23.242,2.102,4.676
2018186115357IMS000000,0.780,0.884,40.340,1.856,1.953
2018186131522IMS000000,0.860,1.038,34.996,1.827,2.165
2018186202646IMS000000,0.530,0.615,43.372,1.962,0.956
2018186215007IMS000000,0.650,0.701,38.623,1.666,0.909
2018187034808IMS000000,0.610,0.749,39.085,1.787,1.112
2018187062657IMS000000,0.560,0.649,46.947,1.751,1.364
2018187084836IMS000000,1.290,1.634,22.736,1.986,4.653
2018188142051IMS000000,0.770,1.027,29.393,1.910,1.237
2018188161324IMS000000,0.610,0.762,31.822,nan,0.629
2018188173124IMS000000,1.380,1.563,27.934,1.948,6.768
2018188175428IMS000000,1.010,1.185,34.055,1.889,3.321
2018188193122IMS000000,0.740,0.841,44.547,1.782,2.265
2018188202905IMS000000,0.690,0.848,38.099,1.730,1.450
2018188214438IMS000000,0.850,1.052,30.601,1.978,1.522
2018188214700IMS000000,0.670,0.932,29.105,2.183,0.866
2018188214802IMS000000,0.610,0.773,49.670,1.563,2.482
2018189060720IMS000000,0.670,0.745,46.223,1.575,1.817
2018189070845IMS000000,0.640,0.699,42.042,1.771,1.167
2018189095118IMS000000,0.410,0.590,46.846,1.799,1.107
2018189132738IMS000000,0.490,0.966,34.646,1.998,1.639
2018189132728IMS000000,0.810,0.974,33.985,1.943,1.591
2018189142028IMS000000,0.840,0.904,35.851,1.833,1.467
2018189152317IMS000000,0.630,0.831,33.462,2.045,0.928
2018189160854IMS000000,0.830,1.059,32.605,1.996,1.885
2018189163251IMS000000,0.640,0.788,44.411,1.867,1.868
2018189173537IMS000000,1.710,1.977,20.464,2.097,11.098
2018189195043IMS000000,0.470,0.543,45.753,1.738,0.877
2018190005253IMS000000,0.570,0.738,41.803,1.779,1.312
2018190020811IMS000000,1.060,1.268,36.682,1.929,5.518
2018190025747IMS000000,0.280,0.502,43.630,1.756,0.659
2018190155046IMS000000,0.790,0.922,37.957,2.078,1.854
