time,lat,lon,dep,mag,magtype,id
2020-02-21T01:01:34.44369,60.193672,24.831011,5.421,-0.89,Ml,2020052010035ISUHX00000
2020-03-08T20:26:51.22036,60.194777,24.834693,5.569,-0.39,Ml,2020068202551ISUHX00000
2020-03-12T06:35:10.62188,60.195059,24.836004,5.696,-0.63,Ml,2020072063410ISUHX00000
2020-03-13T01:20:32.47605,60.189982,24.836457,5.440,-0.80,Ml,2020073011932ISUHX00000
2020-03-17T15:54:56.14924,60.195470,24.837172,5.630,-0.25,Ml,2020077155356ISUHX00000
2020-03-18T12:57:29.64510,60.195536,24.836001,5.621,-0.40,Ml,2020078125629ISUHX00000
2020-04-14T00:49:07.54281,60.196063,24.836783,5.399,1.36,Ml,2020105004807ISUHX00000
2020-04-14T02:32:28.00595,60.195735,24.836007,5.427,0.79,Ml,2020105023127ISUHX00000
2020-04-28T12:39:11.11323,60.194040,24.832047,5.409,-0.43,Ml,2020119123811ISUHX00000
2020-04-29T22:07:55.80171,60.194008,24.831613,5.302,-0.64,Ml,2020120220655ISUHX00000
2020-05-02T11:29:11.43775,60.195187,24.834733,5.603,-0.94,Ml,2020123112812ISUHX00000
2020-05-05T14:10:41.01510,60.195919,24.835827,5.587,-0.23,Ml,2020126140941ISUHX00000
2020-05-05T18:43:47.25783,60.190636,24.829323,4.869,-0.80,Ml,2020126184248ISUHX00000
2020-05-05T19:12:46.70201,60.194785,24.833958,5.567,-0.60,Ml,2020126191146ISUHX00000
2020-05-06T01:44:49.69442,60.191242,24.829060,4.873,-0.82,Ml,2020127014349ISUHX00000
2020-05-06T16:21:35.84625,60.195176,24.835212,5.559,-0.19,Ml,2020127162035ISUHX00000
2020-05-06T19:18:42.97006,60.193845,24.832905,5.616,-0.75,Ml,2020127191744ISUHX00000
2020-05-06T19:34:07.56419,60.195234,24.834822,5.641,-0.38,Ml,2020127193307ISUHX00000
2020-05-06T19:55:01.29182,60.194270,24.829997,5.460,0.19,Ml,2020127195401ISUHX00000
2020-05-06T22:30:31.43546,60.190686,24.828102,4.814,-0.69,Ml,2020127222932ISUHX00000
2020-05-07T00:43:29.10505,60.194227,24.832638,5.572,-0.92,Ml,2020128004229ISUHX00000
2020-05-07T03:54:25.09699,60.194801,24.834661,5.540,-0.74,Ml,2020128035325ISUHX00000
2020-05-12T01:41:36.50326,60.195525,24.835682,5.641,-0.69,Ml,2020133014036ISUHX00000
2020-05-12T05:05:22.84718,60.194438,24.831589,5.377,1.15,Ml,2020133050422ISUHX00000
2020-05-12T08:22:47.62644,60.196209,24.834680,5.547,1.00,Ml,2020133082147ISUHX00000
