time,lat,lon,dep,mag,magtype,id
2020-04-14T00:49:07.54277,60.196078,24.836810,5.396,1.36,Ml,2020105004807ISUHX00000
2020-04-14T02:32:28.00674,60.195750,24.836054,5.417,0.79,Ml,2020105023127ISUHX00000
2020-05-06T19:55:01.29298,60.194307,24.830037,5.451,0.19,Ml,2020127195401ISUHX00000
2020-05-12T05:05:22.84797,60.194468,24.831656,5.369,1.15,Ml,2020133050422ISUHX00000
2020-05-12T08:22:47.62709,60.196235,24.834721,5.540,1.00,Ml,2020133082147ISUHX00000
2020-05-14T03:05:06.78273,60.195897,24.834724,5.601,0.13,Ml,2020135030406ISUHX00000
2020-05-14T04:23:25.46990,60.195807,24.834008,5.476,0.44,Ml,2020135042225ISUHX00000
2020-05-16T04:30:25.53134,60.196237,24.833868,5.507,0.51,Ml,2020137042925ISUHX00000
2020-05-16T21:06:29.48223,60.196730,24.833627,5.551,1.33,Ml,2020137210529ISUHX00000
2020-05-17T13:38:43.62657,60.195481,24.833061,5.479,1.13,Ml,2020138133743ISUHX00000
2020-05-17T20:00:28.51790,60.194190,24.831222,5.403,1.02,Ml,2020138195928ISUHX00000
2020-05-17T20:07:05.09962,60.195115,24.831950,5.487,0.44,Ml,2020138200605ISUHX00000
2020-05-17T22:02:20.43278,60.196066,24.834152,5.571,0.09,Ml,2020138220120ISUHX00000
2020-05-20T21:04:00.17527,60.196356,24.832596,5.505,0.21,Ml,2020141210300ISUHX00000
2020-05-20T22:20:46.18978,60.196706,24.834917,5.591,0.26,Ml,2020141221946ISUHX00000
2020-05-22T00:15:30.83909,60.196410,24.835806,5.442,0.38,Ml,2020143001430ISUHX00000
2020-05-22T16:50:51.64815,60.197200,24.834947,5.455,0.91,Ml,2020143164951ISUHX00000
2020-05-30T19:22:56.78168,60.197336,24.835624,5.498,0.15,Ml,2020151192156ISUHX00000
2020-05-31T17:17:25.77660,60.196805,24.835588,5.466,1.02,Ml,2020152171625ISUHX00000
2020-06-27T04:51:59.39947,60.196170,24.836453,5.423,1.04,Ml,2020179045059ISUHX00000
2020-12-01T16:50:43.81932,60.196414,24.835772,5.435,0.51,Ml,2020336164944ISUHX00000
2020-12-08T12:17:21.15427,60.196432,24.835814,5.406,0.46,Ml,2020343121621ISUHX00000
