#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
HE|MEF||HHZ|60.2172|24.3958|55.0|0.0||||1190723728.71|1.0|M/S|100.0||
HE|MEF||HHN|60.2172|24.3958|55.0|0.0||||1190723728.71|1.0|M/S|100.0||
HE|MEF||HHE|60.2172|24.3958|55.0|0.0||||1190723728.71|1.0|M/S|100.0||
HE|PVF||HHZ|60.5451|25.8616|10.0|0.0||||597795118.851|45.0|M/S|250.0||
HE|PVF||HHN|60.5451|25.8616|10.0|0.0||||597795118.851|45.0|M/S|250.0||
HE|PVF||HHE|60.5451|25.8616|10.0|0.0||||597795118.851|45.0|M/S|250.0||
HE|NUR||HHZ|60.509|24.64873|102.0|0.0||||1817125738.42|45.0|M/S|250.0||
HE|NUR||HHN|60.509|24.64873|102.0|0.0||||1817125738.42|45.0|M/S|250.0||
HE|NUR||HHE|60.509|24.64873|102.0|0.0||||1817125738.42|45.0|M/S|250.0||
HE|HEL1||HHZ|60.1771|24.8825|5.0|0.0||||597795118.851|45.0|M/S|250.0||
HE|HEL1||HHN|60.1771|24.8825|5.0|0.0||||597795118.851|45.0|M/S|250.0||
HE|HEL1||HHE|60.1771|24.8825|5.0|0.0||||597795118.851|45.0|M/S|250.0||
HE|HEL2||HHZ|60.1875|24.8313|5.0|0.0||||597795118.851|45.0|M/S|250.0||
HE|HEL2||HHN|60.1875|24.8313|5.0|0.0||||597795118.851|45.0|M/S|250.0||
HE|HEL2||HHE|60.1875|24.8313|5.0|0.0||||597795118.851|45.0|M/S|250.0||
HE|HEL3||HHZ|60.1732|24.8244|5.0|0.0||||597795118.851|45.0|M/S|250.0||
HE|HEL3||HHN|60.1732|24.8244|5.0|0.0||||597795118.851|45.0|M/S|250.0||
HE|HEL3||HHE|60.1732|24.8244|5.0|0.0||||597795118.851|45.0|M/S|250.0||
HE|HEL4||HHZ|60.2454|24.8061|5.0|0.0||||597795118.851|45.0|M/S|250.0||
HE|HEL4||HHN|60.2454|24.8061|5.0|0.0||||597795118.851|45.0|M/S|250.0||
HE|HEL4||HHE|60.2454|24.8061|5.0|0.0||||597795118.851|45.0|M/S|250.0||
HE|HEL5||HHZ|60.1173|24.7388|5.0|0.0||||597795118.851|45.0|M/S|250.0||
HE|HEL5||HHN|60.1173|24.7388|5.0|0.0||||597795118.851|45.0|M/S|250.0||
HE|HEL5||HHE|60.1173|24.7388|5.0|0.0||||597795118.851|45.0|M/S|250.0||
OT|DID||DPZ|60.1853|24.8556|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|DID||DPN|60.1853|24.8556|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|DID||DPE|60.1853|24.8556|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|DT00||DPZ|60.2249|25.0486|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|DT00||DPN|60.2249|25.0486|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|DT00||DPE|60.2249|25.0486|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|DT01||DPZ|60.2492|25.1027|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|DT01||DPN|60.2492|25.1027|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|DT01||DPE|60.2492|25.1027|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|HAN||DPZ|60.1636|24.8347|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|HAN||DPN|60.1636|24.8347|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|HAN||DPE|60.1636|24.8347|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|KUN||DPZ|60.2238|24.7671|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|KUN||DPN|60.2238|24.7671|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|KUN||DPE|60.2238|24.7671|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|LTS||DPZ|60.1696|24.8561|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|LTS||DPN|60.1696|24.8561|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|LTS||DPE|60.1696|24.8561|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|MKK||DPZ|60.1942|24.7721|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|MKK||DPN|60.1942|24.7721|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|MKK||DPE|60.1942|24.7721|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|RAD||DPZ|60.1844|24.8374|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|RAD||DPN|60.1844|24.8374|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|RAD||DPE|60.1844|24.8374|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|WEG||DPZ|60.1795|24.7944|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|WEG||DPN|60.1795|24.7944|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|WEG||DPE|60.1795|24.7944|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|ZAK||DPZ|60.2059|24.8381|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|ZAK||DPN|60.2059|24.8381|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|ZAK||DPE|60.2059|24.8381|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|PK00||DPZ|60.1534|24.8588|9.783999999999999|0.0||||1894665542.36|45.0|M/S|400.0||
OT|PK00||DPN|60.1534|24.8588|9.783999999999999|0.0||||1894665542.36|45.0|M/S|400.0||
OT|PK00||DPE|60.1534|24.8588|9.783999999999999|0.0||||1894665542.36|45.0|M/S|400.0||
OT|PM00||DPZ|60.2211|24.8564|34.639|0.0||||1894665542.36|45.0|M/S|400.0||
OT|PM00||DPN|60.2211|24.8564|34.639|0.0||||1894665542.36|45.0|M/S|400.0||
OT|PM00||DPE|60.2211|24.8564|34.639|0.0||||1894665542.36|45.0|M/S|400.0||
OT|RS00||DPZ|60.1799|24.734|22.495|0.0||||1894665542.36|45.0|M/S|400.0||
OT|RS00||DPN|60.1799|24.734|22.495|0.0||||1894665542.36|45.0|M/S|400.0||
OT|RS00||DPE|60.1799|24.734|22.495|0.0||||1894665542.36|45.0|M/S|400.0||
OT|EV00||DPZ|60.2046|24.8195|29.113|0.0||||1894665542.36|45.0|M/S|400.0||
OT|EV00||DPN|60.2046|24.8195|29.113|0.0||||1894665542.36|45.0|M/S|400.0||
OT|EV00||DPE|60.2046|24.8195|29.113|0.0||||1894665542.36|45.0|M/S|400.0||
OT|SS01||DPZ|60.1841|24.8824|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|SS01||DPN|60.1841|24.8824|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|SS01||DPE|60.1841|24.8824|10.0|0.0||||1894665542.36|45.0|M/S|400.0||
OT|TL01||DPZ|60.1591|24.7881|8.887|0.0||||1894665542.36|45.0|M/S|400.0||
OT|TL01||DPN|60.1591|24.7881|8.887|0.0||||1894665542.36|45.0|M/S|400.0||
OT|TL01||DPE|60.1591|24.7881|8.887|0.0||||1894665542.36|45.0|M/S|400.0||
HE|MALM||HHZ|60.1863|24.6806|10.0|329.0||||974104196.396|45.0|M/S|500.0||
HE|MALM||HHN|60.1863|24.6806|10.0|329.0||||974104196.396|45.0|M/S|500.0||
HE|MALM||HHE|60.1863|24.6806|10.0|329.0||||974104196.396|45.0|M/S|500.0||
HE|RUSK||HHZ|60.2024|24.9166|10.0|309.0||||864957581.619|45.0|M/S|500.0||
HE|RUSK||HHN|60.2024|24.9166|10.0|309.0||||864957581.619|45.0|M/S|500.0||
HE|RUSK||HHE|60.2024|24.9166|10.0|309.0||||864957581.619|45.0|M/S|500.0||
HE|ELFV||HHZ|60.2019|24.8186|10.0|260.0||||991708489.101|45.0|M/S|500.0||
HE|ELFV||HHN|60.2019|24.8186|10.0|260.0||||991708489.101|45.0|M/S|500.0||
HE|ELFV||HHE|60.2019|24.8186|10.0|260.0||||991708489.101|45.0|M/S|500.0||
HE|LASS||HHZ|60.2334|24.8896|10.0|343.0||||861436723.077|45.0|M/S|500.0||
HE|LASS||HHN|60.2334|24.8896|10.0|343.0||||861436723.077|45.0|M/S|500.0||
HE|LASS||HHE|60.2334|24.8896|10.0|343.0||||861436723.077|45.0|M/S|500.0||
HE|LEPP||HHZ|60.2177|24.8286|10.0|337.0||||908381503.627|45.0|M/S|500.0||
HE|LEPP||HHN|60.2177|24.8286|10.0|337.0||||908381503.627|45.0|M/S|500.0||
HE|LEPP||HHE|60.2177|24.8286|10.0|337.0||||908381503.627|45.0|M/S|500.0||
HE|MUNK||HHZ|60.1557|24.931|10.0|290.0||||930680274.388|45.0|M/S|500.0||
HE|MUNK||HHN|60.1557|24.931|10.0|290.0||||930680274.388|45.0|M/S|500.0||
HE|MUNK||HHE|60.1557|24.931|10.0|290.0||||930680274.388|45.0|M/S|500.0||
HE|MURA||HHZ|60.2005|24.8588|10.0|1198.0||||962368001.258|45.0|M/S|500.0||
HE|MURA||HHN|60.2005|24.8588|10.0|1198.0||||962368001.258|45.0|M/S|500.0||
HE|MURA||HHE|60.2005|24.8588|10.0|1198.0||||962368001.258|45.0|M/S|500.0||
HE|OTRA||HHZ|60.1863|24.8373|10.0|666.0||||962368001.258|45.0|M/S|500.0||
HE|OTRA||HHN|60.1863|24.8373|10.0|666.0||||962368001.258|45.0|M/S|500.0||
HE|OTRA||HHE|60.1863|24.8373|10.0|666.0||||962368001.258|45.0|M/S|500.0||
HE|TAGC||HHZ|60.1963|24.788|10.0|1148.0||||962368001.258|45.0|M/S|500.0||
HE|TAGC||HHN|60.1963|24.788|10.0|1148.0||||962368001.258|45.0|M/S|500.0||
HE|TAGC||HHE|60.1963|24.788|10.0|1148.0||||962368001.258|45.0|M/S|500.0||
HE|TAPI||HHZ|60.17|24.7917|10.0|238.0||||944763708.552|45.0|M/S|500.0||
HE|TAPI||HHN|60.17|24.7917|10.0|238.0||||944763708.552|45.0|M/S|500.0||
HE|TAPI||HHE|60.17|24.7917|10.0|238.0||||944763708.552|45.0|M/S|500.0||
HE|TVJP||HHZ|60.1535|24.808|10.0|333.0||||965888859.799|45.0|M/S|500.0||
HE|TVJP||HHN|60.1535|24.808|10.0|333.0||||965888859.799|45.0|M/S|500.0||
HE|TVJP||HHE|60.1535|24.808|10.0|333.0||||965888859.799|45.0|M/S|500.0||
HE|UNIV||HHZ|60.204|24.9626|10.0|307.0||||911902362.168|45.0|M/S|500.0||
HE|UNIV||HHN|60.204|24.9626|10.0|307.0||||911902362.168|45.0|M/S|500.0||
HE|UNIV||HHE|60.204|24.9626|10.0|307.0||||911902362.168|45.0|M/S|500.0||
