Easting     Northing   Depth
25490448.00 6675071.00    0.00
25490448.00 6675071.00    9.30
25490448.00 6675071.00  132.00
25490448.00 6675071.00  208.00
25490448.00 6675071.00  361.00
25490448.00 6675071.00  514.00
25490448.00 6675071.00  668.00
25490448.00 6675071.00  800.00
25490448.00 6675071.00 1003.00
25490448.00 6675071.00 1148.00
25490448.00 6675071.00 1283.00
25490448.00 6675071.00 1436.00
25490448.00 6675071.00 1561.00
25490448.00 6675071.00 1735.00
25490448.00 6675071.00 1860.00
25490448.00 6675071.00 2346.00
25490448.00 6675071.00 2564.00
25490448.00 6675071.00 2764.00
25490448.00 6675071.00 3266.00
25490448.00 6675071.00 3645.00
25490448.00 6675071.00 3900.00
25490448.00 6675071.00 4114.00
25490448.00 6675071.00 4328.00
25490448.00 6675071.00 4500.00
25490448.11 6675070.96 4506.40
25490448.77 6675070.72 4525.09
25490449.48 6675070.50 4544.07
25490450.19 6675070.32 4562.76
25490450.80 6675070.18 4581.65
25490451.29 6675070.15 4600.14
25490451.77 6675070.26 4618.93
25490452.32 6675070.52 4638.02
25490452.87 6675070.97 4655.81
25490453.29 6675071.48 4669.59
25490453.53 6675071.79 4677.08
25490454.26 6675072.68 4695.45
25490455.26 6675073.78 4712.98
25490456.84 6675075.35 4732.96
25490460.48 6675079.02 4767.77
25490463.87 6675082.86 4795.00
25490466.45 6675086.01 4814.06
25490469.20 6675089.48 4832.64
25490471.69 6675092.75 4848.31
25490482.40 6675108.70 4911.65
25490485.16 6675113.22 4927.07
25490487.46 6675116.97 4939.20
25490491.39 6675123.19 4958.14
25490495.26 6675129.02 4974.92
25490499.71 6675135.59 4993.49
25490504.30 6675142.64 5013.49
25490507.83 6675148.22 5030.13
25490511.42 6675153.86 5047.38
25490515.48 6675160.02 5065.00
25490519.75 6675166.46 5082.14
25490522.80 6675171.14 5093.98
25490525.16 6675174.75 5102.78
25490530.06 6675182.09 5119.83
25490535.29 6675189.57 5136.16
25490541.05 6675197.34 5152.29
25490547.21 6675205.36 5168.37
25490555.18 6675215.78 5187.99
25490561.77 6675224.01 5204.27
25490566.41 6675229.23 5216.27
25490572.75 6675235.60 5233.01
25490578.93 6675240.88 5249.27
25490585.03 6675245.52 5264.63
25490591.56 6675250.61 5281.69
25490597.53 6675255.75 5299.20
25490600.75 6675258.78 5309.15
25490604.88 6675262.87 5321.89
25490606.93 6675264.95 5328.25
25490610.26 6675268.14 5337.90
25490613.53 6675271.17 5346.52
25490616.74 6675274.40 5354.74
25490621.09 6675279.47 5366.12
25490623.32 6675282.23 5372.16
25490632.23 6675291.54 5395.76
25490636.56 6675294.89 5406.21
25490644.23 6675299.76 5423.12
25490652.34 6675304.33 5440.37
25490660.77 6675308.40 5457.48
25490669.66 6675312.06 5473.86
25490680.37 6675315.75 5491.18
25490691.01 6675318.63 5506.28
25490702.65 6675321.57 5521.78
25490710.70 6675324.02 5532.46
25490727.25 6675330.57 5553.54
25490738.80 6675336.33 5567.89
25490757.99 6675347.74 5592.86
25490770.31 6675355.90 5609.16
25490785.87 6675367.40 5629.53
25490791.68 6675372.04 5637.09
25490801.96 6675380.37 5650.43
25490805.18 6675383.11 5654.70
25490812.57 6675389.97 5664.84
25490821.97 6675400.40 5678.94
25490830.11 6675410.59 5692.19
25490838.79 6675421.36 5706.35
25490841.00 6675424.06 5709.94
25490855.39 6675441.24 5734.29
25490863.75 6675451.18 5749.37
25490868.01 6675456.28 5757.24
25490872.15 6675461.31 5764.96
25490875.44 6675465.42 5771.11
25490879.82 6675471.20 5779.38
25490887.05 6675481.49 5793.76
25490889.67 6675485.42 5799.19
25490902.02 6675502.73 5823.10
25490918.38 6675520.64 5851.67
25490927.55 6675529.52 5867.19
25490932.59 6675534.60 5875.42
25490937.49 6675539.36 5882.85
25490942.27 6675543.85 5889.73
25490947.62 6675549.02 5897.56
25490952.60 6675554.08 5905.01
25490965.24 6675568.14 5923.43
25490973.99 6675578.51 5935.86
25490978.91 6675584.20 5942.75
25490983.91 6675589.65 5949.51
25490988.81 6675594.69 5956.02
25490991.66 6675597.50 5959.79
25490996.11 6675601.88 5965.71
25490998.77 6675604.55 5969.29
25491003.90 6675609.81 5976.36
25491008.74 6675614.80 5983.13
25491015.22 6675621.50 5992.26
25491018.19 6675624.57 5996.54
25491022.61 6675629.19 6003.29
25491028.06 6675635.25 6012.24
25491032.61 6675640.59 6019.92
25491036.29 6675645.00 6026.18
25491044.53 6675654.94 6039.98
25491061.90 6675676.76 6068.24
25491065.88 6675681.86 6074.64
25491069.88 6675686.98 6081.15
25491074.28 6675692.76 6088.46
